Month,County,Tax Rate,Year Imposed,year,local.sales.tax.revenue,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,MIF Region
October,Beltrami,5.0000000000000001E-3,2014,2019,311551,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
November,Beltrami,5.0000000000000001E-3,2014,2019,287829,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
December,Beltrami,5.0000000000000001E-3,2014,2019,265060,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
Total,Beltrami,5.0000000000000001E-3,2014,2019,3467105,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
January,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
February,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
March,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
April,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
May,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
June,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
July,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
August,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
September,Benton,5.0000000000000001E-3,2019,2019,-,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
October,Benton,5.0000000000000001E-3,2019,2019,39,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
November,Benton,5.0000000000000001E-3,2019,2019,156813,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
December,Benton,5.0000000000000001E-3,2019,2019,165701,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
Total,Benton,5.0000000000000001E-3,2019,2019,322553,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
January,Blue Earth,5.0000000000000001E-3,2016,2019,590289,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
February,Blue Earth,5.0000000000000001E-3,2016,2019,449640,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
March,Blue Earth,5.0000000000000001E-3,2016,2019,394546,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
April,Blue Earth,5.0000000000000001E-3,2016,2019,498215,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
May,Blue Earth,5.0000000000000001E-3,2016,2019,487088,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
June,Blue Earth,5.0000000000000001E-3,2016,2019,516335,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
July,Blue Earth,5.0000000000000001E-3,2016,2019,513888,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
August,Blue Earth,5.0000000000000001E-3,2016,2019,552254,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
September,Blue Earth,5.0000000000000001E-3,2016,2019,547186,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
October,Blue Earth,5.0000000000000001E-3,2016,2019,529397,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
November,Blue Earth,5.0000000000000001E-3,2016,2019,540009,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
December,Blue Earth,5.0000000000000001E-3,2016,2019,536155,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
Total,Blue Earth,5.0000000000000001E-3,2016,2019,6155002,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
January,Brown,5.0000000000000001E-3,2016,2019,149422,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,Brown,5.0000000000000001E-3,2016,2019,118037,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,Brown,5.0000000000000001E-3,2016,2019,112788,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,Brown,5.0000000000000001E-3,2016,2019,134608,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,Brown,5.0000000000000001E-3,2016,2019,133631,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,Brown,5.0000000000000001E-3,2016,2019,156828,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,Brown,5.0000000000000001E-3,2016,2019,145318,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,Brown,5.0000000000000001E-3,2016,2019,169819,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,Brown,5.0000000000000001E-3,2016,2019,161797,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,Brown,5.0000000000000001E-3,2016,2019,160423,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,Brown,5.0000000000000001E-3,2016,2019,151579,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,Brown,5.0000000000000001E-3,2016,2019,149676,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,Brown,5.0000000000000001E-3,2016,2019,1743926,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,Carlton,5.0000000000000001E-3,2015,2019,149544,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,Carlton,5.0000000000000001E-3,2015,2019,124761,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,Carlton,5.0000000000000001E-3,2015,2019,113832,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,Carlton,5.0000000000000001E-3,2015,2019,129078,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,Carlton,5.0000000000000001E-3,2015,2019,127781,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,Carlton,5.0000000000000001E-3,2015,2019,157285,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,Carlton,5.0000000000000001E-3,2015,2019,157464,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,Carlton,5.0000000000000001E-3,2015,2019,164732,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,Carlton,5.0000000000000001E-3,2015,2019,157219,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,Carlton,5.0000000000000001E-3,2015,2019,149984,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,Carlton,5.0000000000000001E-3,2015,2019,144400,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,Carlton,5.0000000000000001E-3,2015,2019,144564,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,Carlton,5.0000000000000001E-3,2015,2019,1720644,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,Carver,5.0000000000000001E-3,2017,2019,779640,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
February,Carver,5.0000000000000001E-3,2017,2019,522180,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
March,Carver,5.0000000000000001E-3,2017,2019,533525,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
April,Carver,5.0000000000000001E-3,2017,2019,547674,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
May,Carver,5.0000000000000001E-3,2017,2019,587767,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
June,Carver,5.0000000000000001E-3,2017,2019,754345,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
July,Carver,5.0000000000000001E-3,2017,2019,672105,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
August,Carver,5.0000000000000001E-3,2017,2019,719859,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
September,Carver,5.0000000000000001E-3,2017,2019,675203,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
October,Carver,5.0000000000000001E-3,2017,2019,685939,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
November,Carver,5.0000000000000001E-3,2017,2019,705539,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
December,Carver,5.0000000000000001E-3,2017,2019,656676,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
Total,Carver,5.0000000000000001E-3,2017,2019,7840452,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
January,Cass,5.0000000000000001E-3,2016,2019,143377,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,Cass,5.0000000000000001E-3,2016,2019,106235,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,Cass,5.0000000000000001E-3,2016,2019,101568,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,Cass,5.0000000000000001E-3,2016,2019,107260,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,Cass,5.0000000000000001E-3,2016,2019,115708,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,Cass,5.0000000000000001E-3,2016,2019,181909,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,Cass,5.0000000000000001E-3,2016,2019,235504,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,Cass,5.0000000000000001E-3,2016,2019,274983,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,Cass,5.0000000000000001E-3,2016,2019,230407,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,Cass,5.0000000000000001E-3,2016,2019,190186,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,Cass,5.0000000000000001E-3,2016,2019,151630,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,Cass,5.0000000000000001E-3,2016,2019,115185,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,Cass,5.0000000000000001E-3,2016,2019,1953952,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,Chisago,5.0000000000000001E-3,2016,2019,216003,025,D,Entirely urban,EDR 7E- East Central,Central,EC
February,Chisago,5.0000000000000001E-3,2016,2019,167406,025,D,Entirely urban,EDR 7E- East Central,Central,EC
March,Chisago,5.0000000000000001E-3,2016,2019,159092,025,D,Entirely urban,EDR 7E- East Central,Central,EC
April,Chisago,5.0000000000000001E-3,2016,2019,196114,025,D,Entirely urban,EDR 7E- East Central,Central,EC
May,Chisago,5.0000000000000001E-3,2016,2019,200566,025,D,Entirely urban,EDR 7E- East Central,Central,EC
June,Chisago,5.0000000000000001E-3,2016,2019,242916,025,D,Entirely urban,EDR 7E- East Central,Central,EC
July,Chisago,5.0000000000000001E-3,2016,2019,228457,025,D,Entirely urban,EDR 7E- East Central,Central,EC
August,Chisago,5.0000000000000001E-3,2016,2019,264119,025,D,Entirely urban,EDR 7E- East Central,Central,EC
September,Chisago,5.0000000000000001E-3,2016,2019,233289,025,D,Entirely urban,EDR 7E- East Central,Central,EC
October,Chisago,5.0000000000000001E-3,2016,2019,230877,025,D,Entirely urban,EDR 7E- East Central,Central,EC
November,Chisago,5.0000000000000001E-3,2016,2019,229107,025,D,Entirely urban,EDR 7E- East Central,Central,EC
December,Chisago,5.0000000000000001E-3,2016,2019,207763,025,D,Entirely urban,EDR 7E- East Central,Central,EC
Total,Chisago,5.0000000000000001E-3,2016,2019,2575709,025,D,Entirely urban,EDR 7E- East Central,Central,EC
January,Cook,5.0000000000000001E-3,2017,2019,61879,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
February,Cook,5.0000000000000001E-3,2017,2019,51482,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
March,Cook,5.0000000000000001E-3,2017,2019,47410,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
April,Cook,5.0000000000000001E-3,2017,2019,78887,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
May,Cook,5.0000000000000001E-3,2017,2019,36798,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
June,Cook,5.0000000000000001E-3,2017,2019,57258,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
July,Cook,5.0000000000000001E-3,2017,2019,86641,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
August,Cook,5.0000000000000001E-3,2017,2019,114943,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
September,Cook,5.0000000000000001E-3,2017,2019,116062,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
October,Cook,5.0000000000000001E-3,2017,2019,110068,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
November,Cook,5.0000000000000001E-3,2017,2019,75238,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
December,Cook,5.0000000000000001E-3,2017,2019,44392,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
Total,Cook,5.0000000000000001E-3,2017,2019,881058,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
January,Crow Wing,5.0000000000000001E-3,2016,2019,516764,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,Crow Wing,5.0000000000000001E-3,2016,2019,397085,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,Crow Wing,5.0000000000000001E-3,2016,2019,380935,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,Crow Wing,5.0000000000000001E-3,2016,2019,444889,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,Crow Wing,5.0000000000000001E-3,2016,2019,474279,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,Crow Wing,5.0000000000000001E-3,2016,2019,667086,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,Crow Wing,5.0000000000000001E-3,2016,2019,654125,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,Crow Wing,5.0000000000000001E-3,2016,2019,791195,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,Crow Wing,5.0000000000000001E-3,2016,2019,757463,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,Crow Wing,5.0000000000000001E-3,2016,2019,618356,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,Crow Wing,5.0000000000000001E-3,2016,2019,534732,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,Crow Wing,5.0000000000000001E-3,2016,2019,487772,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,Crow Wing,5.0000000000000001E-3,2016,2019,6724681,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,Dakota,2.5000000000000001E-3,2017,2019,1590648,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
February,Dakota,2.5000000000000001E-3,2017,2019,1193610,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
March,Dakota,2.5000000000000001E-3,2017,2019,1072098,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
April,Dakota,2.5000000000000001E-3,2017,2019,1310067,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
May,Dakota,2.5000000000000001E-3,2017,2019,1333993,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
June,Dakota,2.5000000000000001E-3,2017,2019,1450045,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
July,Dakota,2.5000000000000001E-3,2017,2019,1437109,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
August,Dakota,2.5000000000000001E-3,2017,2019,1599018,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
September,Dakota,2.5000000000000001E-3,2017,2019,1535620,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
October,Dakota,2.5000000000000001E-3,2017,2019,1474158,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
November,Dakota,2.5000000000000001E-3,2017,2019,1449065,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
December,Dakota,2.5000000000000001E-3,2017,2019,1393127,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
Total,Dakota,2.5000000000000001E-3,2017,2019,16838558,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
January,Dodge,5.0000000000000001E-3,2019,2019,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
February,Dodge,5.0000000000000001E-3,2019,2019,45005,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
March,Dodge,5.0000000000000001E-3,2019,2019,48508,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
April,Dodge,5.0000000000000001E-3,2019,2019,60209,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
May,Dodge,5.0000000000000001E-3,2019,2019,61958,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
June,Dodge,5.0000000000000001E-3,2019,2019,68935,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
July,Dodge,5.0000000000000001E-3,2019,2019,78491,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
August,Dodge,5.0000000000000001E-3,2019,2019,86680,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
September,Dodge,5.0000000000000001E-3,2019,2019,76985,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
October,Dodge,5.0000000000000001E-3,2019,2019,78659,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
November,Dodge,5.0000000000000001E-3,2019,2019,76399,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
December,Dodge,5.0000000000000001E-3,2019,2019,68586,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
Total,Dodge,5.0000000000000001E-3,2019,2019,750415,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE
January,Douglas,5.0000000000000001E-3,2014,2019,300992,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,Douglas,5.0000000000000001E-3,2014,2019,225959,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,Douglas,5.0000000000000001E-3,2014,2019,210918,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,Douglas,5.0000000000000001E-3,2014,2019,254627,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,Douglas,5.0000000000000001E-3,2014,2019,263953,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,Douglas,5.0000000000000001E-3,2014,2019,330205,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,Douglas,5.0000000000000001E-3,2014,2019,328737,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,Douglas,5.0000000000000001E-3,2014,2019,391776,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
September,Douglas,5.0000000000000001E-3,2014,2019,335159,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,Douglas,5.0000000000000001E-3,2014,2019,321589,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,Douglas,5.0000000000000001E-3,2014,2019,292765,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,Douglas,5.0000000000000001E-3,2014,2019,270091,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,Douglas,5.0000000000000001E-3,2014,2019,3526771,041,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,Fillmore,5.0000000000000001E-3,2015,2019,78611,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,Fillmore,5.0000000000000001E-3,2015,2019,60266,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,Fillmore,5.0000000000000001E-3,2015,2019,51268,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,Fillmore,5.0000000000000001E-3,2015,2019,61433,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,Fillmore,5.0000000000000001E-3,2015,2019,63956,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,Fillmore,5.0000000000000001E-3,2015,2019,82766,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
July,Fillmore,5.0000000000000001E-3,2015,2019,79424,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
August,Fillmore,5.0000000000000001E-3,2015,2019,90335,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
September,Fillmore,5.0000000000000001E-3,2015,2019,80171,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
October,Fillmore,5.0000000000000001E-3,2015,2019,88536,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
November,Fillmore,5.0000000000000001E-3,2015,2019,80512,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
December,Fillmore,5.0000000000000001E-3,2015,2019,76253,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,Fillmore,5.0000000000000001E-3,2015,2019,893531,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,Freeborn,5.0000000000000001E-3,2016,2019,174667,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
February,Freeborn,5.0000000000000001E-3,2016,2019,137273,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
March,Freeborn,5.0000000000000001E-3,2016,2019,127731,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
April,Freeborn,5.0000000000000001E-3,2016,2019,156027,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
May,Freeborn,5.0000000000000001E-3,2016,2019,166641,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
June,Freeborn,5.0000000000000001E-3,2016,2019,185836,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
July,Freeborn,5.0000000000000001E-3,2016,2019,177301,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
August,Freeborn,5.0000000000000001E-3,2016,2019,199697,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
September,Freeborn,5.0000000000000001E-3,2016,2019,187054,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
October,Freeborn,5.0000000000000001E-3,2016,2019,177539,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
November,Freeborn,5.0000000000000001E-3,2016,2019,182992,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
December,Freeborn,5.0000000000000001E-3,2016,2019,172327,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,Freeborn,5.0000000000000001E-3,2016,2019,2045085,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
January,Goodhue,5.0000000000000001E-3,2019,2019,1,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,Goodhue,5.0000000000000001E-3,2019,2019,198838,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,Goodhue,5.0000000000000001E-3,2019,2019,181143,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,Goodhue,5.0000000000000001E-3,2019,2019,228459,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,Goodhue,5.0000000000000001E-3,2019,2019,245895,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,Goodhue,5.0000000000000001E-3,2019,2019,292220,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,Hennepin,5.0000000000000001E-3,2017,2019,11719388,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
February,Hennepin,5.0000000000000001E-3,2017,2019,9184930,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
March,Hennepin,5.0000000000000001E-3,2017,2019,8519905,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
April,Hennepin,5.0000000000000001E-3,2017,2019,10259545,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
May,Hennepin,5.0000000000000001E-3,2017,2019,10356236,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
June,Hennepin,5.0000000000000001E-3,2017,2019,10971202,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
July,Hennepin,5.0000000000000001E-3,2017,2019,10601873,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
August,Hennepin,5.0000000000000001E-3,2017,2019,12092266,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
September,Hennepin,5.0000000000000001E-3,2017,2019,11336602,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
October,Hennepin,5.0000000000000001E-3,2017,2019,11457922,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
November,Hennepin,5.0000000000000001E-3,2017,2019,11075750,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
December,Hennepin,5.0000000000000001E-3,2017,2019,10262279,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
Total,Hennepin,5.0000000000000001E-3,2017,2019,127837898,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
January,Hubbard,5.0000000000000001E-3,2015,2019,87888,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
February,Hubbard,5.0000000000000001E-3,2015,2019,79923,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
March,Hubbard,5.0000000000000001E-3,2015,2019,71076,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
April,Hubbard,5.0000000000000001E-3,2015,2019,81043,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
May,Hubbard,5.0000000000000001E-3,2015,2019,81074,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
June,Hubbard,5.0000000000000001E-3,2015,2019,114981,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
July,Hubbard,5.0000000000000001E-3,2015,2019,127064,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
August,Hubbard,5.0000000000000001E-3,2015,2019,156606,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
September,Hubbard,5.0000000000000001E-3,2015,2019,128181,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
October,Hubbard,5.0000000000000001E-3,2015,2019,120016,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
November,Hubbard,5.0000000000000001E-3,2015,2019,98954,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
December,Hubbard,5.0000000000000001E-3,2015,2019,93153,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
Total,Hubbard,5.0000000000000001E-3,2015,2019,1239959,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
January,Isanti,5.0000000000000001E-3,2019,2019,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
February,Isanti,5.0000000000000001E-3,2019,2019,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
March,Isanti,5.0000000000000001E-3,2019,2019,-,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
