Month,years.effective,sales.tax.rate,city,year,local.sales.tax.revenue,County,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif
February,2004-2020,0.1,East Grand Forks,2019,64854,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
March,2004-2020,0.1,East Grand Forks,2019,63527,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
April,2004-2020,0.1,East Grand Forks,2019,78589,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
May,2004-2020,0.1,East Grand Forks,2019,70475,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
June,2004-2020,0.1,East Grand Forks,2019,77978,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
July,2004-2020,0.1,East Grand Forks,2019,81537,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
August,2004-2020,0.1,East Grand Forks,2019,97577,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
September,2004-2020,0.1,East Grand Forks,2019,76324,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
October,2004-2020,0.1,East Grand Forks,2019,84868,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
November,2004-2020,0.1,East Grand Forks,2019,73795,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
December,2004-2020,0.1,East Grand Forks,2019,78988,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
Total,2004-2020,0.1,East Grand Forks,2019,938975,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
January,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
February,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
March,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
April,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
May,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
June,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
July,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
August,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
September,2004-2020,0.05,Elk River,2019,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
October,2004-2020,0.05,Elk River,2019,86,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
November,2004-2020,0.05,Elk River,2019,213985,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
December,2004-2020,0.05,Elk River,2019,197322,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
Total,2004-2020,0.05,Elk River,2019,411393,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
January,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Excelsior,2019,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Excelsior,2019,9,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Excelsior,2019,38462,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Excelsior,2019,39193,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Excelsior,2019,77664,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Fairmont,2019,65978,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Fairmont,2019,60134,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Fairmont,2019,57092,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Fairmont,2019,68960,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Fairmont,2019,69937,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Fairmont,2019,79612,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Fairmont,2019,73798,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Fairmont,2019,91028,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Fairmont,2019,80461,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Fairmont,2019,78276,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Fairmont,2019,73868,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Fairmont,2019,73948,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Fairmont,2019,873092,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Fergus Falls,2019,110676,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,2004-2020,0.05,Fergus Falls,2019,89982,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,2004-2020,0.05,Fergus Falls,2019,79180,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,2004-2020,0.05,Fergus Falls,2019,98469,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,2004-2020,0.05,Fergus Falls,2019,104693,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,2004-2020,0.05,Fergus Falls,2019,120182,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,2004-2020,0.05,Fergus Falls,2019,122009,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,2004-2020,0.05,Fergus Falls,2019,127586,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
September,2004-2020,0.05,Fergus Falls,2019,114383,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,2004-2020,0.05,Fergus Falls,2019,111699,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,2004-2020,0.05,Fergus Falls,2019,112851,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,2004-2020,0.05,Fergus Falls,2019,103384,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,2004-2020,0.05,Fergus Falls,2019,1295094,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
September,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,2004-2020,0.05,Glenwood,2019,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,2004-2020,0.05,Glenwood,2019,0,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,2004-2020,.05 - .1,Hermantown,2019,258279,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,.05 - .1,Hermantown,2019,202779,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,.05 - .1,Hermantown,2019,180986,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,.05 - .1,Hermantown,2019,219932,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,.05 - .1,Hermantown,2019,228003,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,.05 - .1,Hermantown,2019,281623,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,.05 - .1,Hermantown,2019,290751,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,.05 - .1,Hermantown,2019,291099,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,.05 - .1,Hermantown,2019,296522,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,.05 - .1,Hermantown,2019,268030,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,.05 - .1,Hermantown,2019,276087,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,.05 - .1,Hermantown,2019,260975,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,.05 - .1,Hermantown,2019,3055066,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,Hutchinson,2019,132547,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
February,2004-2020,0.05,Hutchinson,2019,99926,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
March,2004-2020,0.05,Hutchinson,2019,90607,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
April,2004-2020,0.05,Hutchinson,2019,112763,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
May,2004-2020,0.05,Hutchinson,2019,117035,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
June,2004-2020,0.05,Hutchinson,2019,127044,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
July,2004-2020,0.05,Hutchinson,2019,121876,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
August,2004-2020,0.05,Hutchinson,2019,131987,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
September,2004-2020,0.05,Hutchinson,2019,126172,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
October,2004-2020,0.05,Hutchinson,2019,125622,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
November,2004-2020,0.05,Hutchinson,2019,121990,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
December,2004-2020,0.05,Hutchinson,2019,121963,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,2004-2020,0.05,Hutchinson,2019,1429532,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
January,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,0.1,International Falls,2019,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,0.1,International Falls,2019,424,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,0.1,International Falls,2019,77950,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,0.1,International Falls,2019,80465,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,0.1,International Falls,2019,158839,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,Lanesboro,2019,5017,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Lanesboro,2019,2881,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Lanesboro,2019,1966,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Lanesboro,2019,3195,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Lanesboro,2019,2841,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Lanesboro,2019,4357,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Lanesboro,2019,6651,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Lanesboro,2019,5516,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Lanesboro,2019,6508,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Lanesboro,2019,6727,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Lanesboro,2019,4463,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Lanesboro,2019,3392,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Lanesboro,2019,53514,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Mankato,2019,515245,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Mankato,2019,515245,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Mankato,2019,383928,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Mankato,2019,383928,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Mankato,2019,338078,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Mankato,2019,338078,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Mankato,2019,432712,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Mankato,2019,432712,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Mankato,2019,414916,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Mankato,2019,414916,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Mankato,2019,436214,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Mankato,2019,436214,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Mankato,2019,431265,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Mankato,2019,431265,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Mankato,2019,458416,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Mankato,2019,458416,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Mankato,2019,458624,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Mankato,2019,458624,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Mankato,2019,439926,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Mankato,2019,439926,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Mankato,2019,457177,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Mankato,2019,457177,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Mankato,2019,449028,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Mankato,2019,449028,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Mankato,2019,5215529,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Mankato,2019,5215529,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Marshall,2019,121058,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
February,2004-2020,0.05,Marshall,2019,93748,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
March,2004-2020,0.05,Marshall,2019,86097,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
April,2004-2020,0.05,Marshall,2019,115854,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
May,2004-2020,0.05,Marshall,2019,111361,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
June,2004-2020,0.05,Marshall,2019,126792,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
July,2004-2020,0.05,Marshall,2019,118350,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
August,2004-2020,0.05,Marshall,2019,135235,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
September,2004-2020,0.05,Marshall,2019,122817,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
October,2004-2020,0.05,Marshall,2019,125533,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
November,2004-2020,0.05,Marshall,2019,125007,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
December,2004-2020,0.05,Marshall,2019,120307,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
Total,2004-2020,0.05,Marshall,2019,1402159,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
January,2004-2020,0.05,Medford,2019,43841,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Medford,2019,7379,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Medford,2019,6771,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Medford,2019,27056,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Medford,2019,8308,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Medford,2019,8936,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Medford,2019,25238,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Medford,2019,9525,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Medford,2019,10000,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Medford,2019,26729,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Medford,2019,8825,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Medford,2019,8323,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Medford,2019,190931,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Minneapolis,2019,3245821,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Minneapolis,2019,3245821,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Minneapolis,2019,2666398,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Minneapolis,2019,2666398,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Minneapolis,2019,2632582,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Minneapolis,2019,2632582,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Minneapolis,2019,3103733,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Minneapolis,2019,3103733,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Minneapolis,2019,3238731,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Minneapolis,2019,3238731,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Minneapolis,2019,3186191,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Minneapolis,2019,3186191,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Minneapolis,2019,3113670,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Minneapolis,2019,3113670,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Minneapolis,2019,3521142,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Minneapolis,2019,3521142,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Minneapolis,2019,3330830,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Minneapolis,2019,3330830,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Minneapolis,2019,3561026,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Minneapolis,2019,3561026,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Minneapolis,2019,3375805,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Minneapolis,2019,3375805,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Minneapolis,2019,2986353,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Minneapolis,2019,2986353,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Minneapolis,2019,37962282,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Minneapolis,2019,37962282,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Moose Lake,2019,17636,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.05,Moose Lake,2019,13816,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.05,Moose Lake,2019,12928,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.05,Moose Lake,2019,15781,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.05,Moose Lake,2019,15320,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.05,Moose Lake,2019,22130,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.05,Moose Lake,2019,19501,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
