Month,years.effective,sales.tax.rate,city,year,local.sales.tax.revenue,County,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif
May,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Fairmont,2004,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,2004-2020,0.05,Fergus Falls,2004,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
